交易日,当日收益率,累计收益率,指数累计,控仓收益_5,控仓累计_5,控仓收益_20,仓位控制_20,控仓累计_20,控仓收益_30,控仓累计_30,控仓收益_60,控仓累计_60
2021-05-12,0.11,15.34,4.099999999999999,0.11,9.559999999999999,0.11,1,2.77,0.11,11.589999999999996,0.11,9.669999999999998
2021-05-13,-0.86,14.48,4.2799999999999985,-0.86,8.7,-0.86,1,1.9100000000000001,-0.86,10.729999999999997,-0.86,8.809999999999999
2021-05-14,0.96,15.44,3.9499999999999984,0.96,9.66,0.96,1,2.87,0.96,11.689999999999998,0.96,9.77
2021-05-17,-0.38,15.06,4.329999999999998,-0.38,9.28,-0.38,1,2.49,-0.38,11.309999999999997,-0.38,9.389999999999999
2021-05-18,0.78,15.84,4.009999999999998,0.78,10.059999999999999,0.0,0,2.49,0.78,12.089999999999996,0.78,10.169999999999998
2021-05-19,0.6,16.44,4.489999999999998,0.6,10.659999999999998,0.6,1,3.0900000000000003,0.6,12.689999999999996,0.6,10.769999999999998
2021-05-20,-0.52,15.92,4.659999999999998,-0.52,10.139999999999999,-0.52,1,2.5700000000000003,-0.52,12.169999999999996,-0.52,10.249999999999998
2021-05-21,1.39,17.31,4.369999999999998,1.39,11.53,0.0,0,2.5700000000000003,1.39,13.559999999999997,1.39,11.639999999999999
2021-05-24,1.5,18.81,4.629999999999998,1.5,13.03,1.5,1,4.07,1.5,15.059999999999997,1.5,13.139999999999999
2021-05-25,0.9,19.71,5.0699999999999985,0.9,13.93,0.9,1,4.970000000000001,0.9,15.959999999999997,0.9,14.04
2021-05-26,-0.01,19.7,5.399999999999999,-0.01,13.92,-0.01,1,4.960000000000001,-0.01,15.949999999999998,-0.01,14.03
2021-05-27,0.6,20.3,5.869999999999998,0.6,14.52,0.6,1,5.5600000000000005,0.6,16.549999999999997,0.6,14.629999999999999
2021-05-28,-0.06,20.24,6.369999999999998,-0.06,14.459999999999999,-0.06,1,5.500000000000001,-0.06,16.49,-0.06,14.569999999999999
2021-05-31,0.09,20.33,6.249999999999998,0.09,14.549999999999999,0.09,1,5.590000000000001,0.09,16.58,0.09,14.659999999999998
2021-06-01,0.17,20.5,6.809999999999999,0.17,14.719999999999999,0.17,1,5.760000000000001,0.17,16.75,0.17,14.829999999999998
2021-06-02,0.68,21.18,6.979999999999999,0.68,15.399999999999999,0.68,1,6.44,0.68,17.43,0.68,15.509999999999998
2021-06-03,0.48,21.66,6.659999999999998,0.48,15.879999999999999,0.48,1,6.92,0.48,17.91,0.48,15.989999999999998
2021-06-04,0.07,21.73,6.739999999999998,0.07,15.95,0.07,1,6.99,0.07,17.98,0.07,16.06
2021-06-07,-0.48,21.25,6.7799999999999985,-0.48,15.469999999999999,-0.0,0,6.99,-0.48,17.5,-0.48,15.579999999999998
2021-06-08,0.36,21.61,6.869999999999998,0.36,15.829999999999998,0.36,1,7.3500000000000005,0.36,17.86,0.36,15.939999999999998
2021-06-09,0.1,21.71,6.719999999999998,0.1,15.929999999999998,0.0,0,7.3500000000000005,0.1,17.96,0.1,16.04
2021-06-10,0.6,22.31,6.709999999999998,0.6,16.529999999999998,0.0,0,7.3500000000000005,0.6,18.560000000000002,0.6,16.64
2021-06-11,0.1,22.41,7.199999999999998,0.1,16.63,0.1,1,7.45,0.1,18.660000000000004,0.1,16.740000000000002
2021-06-15,0.48,22.89,7.139999999999999,0.48,17.11,0.48,1,7.93,0.48,19.140000000000004,0.48,17.220000000000002
2021-06-16,0.06,22.95,6.419999999999999,0.06,17.169999999999998,0.0,0,7.93,0.06,19.200000000000003,0.06,17.28
2021-06-17,0.63,23.58,5.27,0.0,17.169999999999998,0.0,0,7.93,0.63,19.830000000000002,0.63,17.91
2021-06-18,0.3,23.88,5.1899999999999995,0.0,17.169999999999998,0.0,0,7.93,0.0,19.830000000000002,0.3,18.21
2021-06-21,0.43,24.31,5.63,0.0,17.169999999999998,0.0,0,7.93,0.43,20.26,0.43,18.64
2021-06-22,0.3,24.61,6.4399999999999995,0.3,17.47,0.3,1,8.23,0.3,20.560000000000002,0.3,18.94
2021-06-23,0.43,25.04,7.18,0.43,17.9,0.43,1,8.66,0.43,20.990000000000002,0.43,19.37
2021-06-24,0.0,25.04,7.88,0.0,17.9,0.0,1,8.66,0.0,20.990000000000002,0.0,19.37
2021-06-25,0.59,25.63,8.04,0.59,18.49,0.59,1,9.25,0.59,21.580000000000002,0.59,19.96
2021-06-28,-0.15,25.48,8.29,-0.15,18.34,-0.15,1,9.1,-0.15,21.430000000000003,-0.15,19.810000000000002
2021-06-29,-1.41,24.07,8.809999999999999,-1.41,16.93,-1.41,1,7.6899999999999995,-1.41,20.020000000000003,-1.41,18.400000000000002
2021-06-30,1.16,25.23,8.36,1.16,18.09,1.16,1,8.85,1.16,21.180000000000003,1.16,19.560000000000002
2021-07-01,0.3,25.53,8.479999999999999,0.3,18.39,0.3,1,9.15,0.3,21.480000000000004,0.3,19.860000000000003
2021-07-02,-0.66,24.87,8.059999999999999,-0.66,17.73,-0.0,0,9.15,-0.66,20.820000000000004,-0.66,19.200000000000003
2021-07-05,0.71,25.58,7.709999999999999,0.71,18.44,0.0,0,9.15,0.71,21.530000000000005,0.71,19.910000000000004
2021-07-06,0.29,25.87,8.319999999999999,0.29,18.73,0.29,1,9.44,0.29,21.820000000000004,0.29,20.200000000000003
2021-07-07,0.6,26.47,8.389999999999999,0.6,19.330000000000002,0.6,1,10.04,0.6,22.420000000000005,0.6,20.800000000000004
2021-07-08,-0.55,25.92,9.459999999999999,-0.55,18.78,-0.55,1,9.489999999999998,-0.55,21.870000000000005,-0.55,20.250000000000004
2021-07-09,0.0,25.92,9.84,0.0,18.78,0.0,1,9.489999999999998,0.0,21.870000000000005,0.0,20.250000000000004
2021-07-12,0.1,26.02,10.45,0.1,18.880000000000003,0.1,1,9.589999999999998,0.1,21.970000000000006,0.1,20.350000000000005
2021-07-13,0.0,26.02,11.729999999999999,0.0,18.880000000000003,0.0,1,9.589999999999998,0.0,21.970000000000006,0.0,20.350000000000005
2021-07-14,0.0,26.02,12.749999999999998,0.0,18.880000000000003,0.0,1,9.589999999999998,0.0,21.970000000000006,0.0,20.350000000000005
2021-07-15,-0.41,25.61,12.789999999999997,-0.41,18.470000000000002,-0.41,1,9.179999999999998,-0.41,21.560000000000006,-0.41,19.940000000000005
2021-07-16,-0.01,25.6,12.369999999999997,-0.01,18.46,-0.01,1,9.169999999999998,-0.01,21.550000000000004,-0.01,19.930000000000003
2021-07-19,-0.09,25.51,12.499999999999998,-0.09,18.37,-0.09,1,9.079999999999998,-0.09,21.460000000000004,-0.09,19.840000000000003
2021-07-20,-0.89,24.62,12.319999999999999,-0.89,17.48,-0.0,0,9.079999999999998,-0.89,20.570000000000004,-0.89,18.950000000000003
2021-07-21,1.15,25.77,12.359999999999998,1.15,18.63,0.0,0,9.079999999999998,1.15,21.720000000000002,1.15,20.1
2021-07-22,0.0,25.77,13.769999999999998,0.0,18.63,0.0,1,9.079999999999998,0.0,21.720000000000002,0.0,20.1
2021-07-23,0.0,25.77,14.559999999999999,0.0,18.63,0.0,1,9.079999999999998,0.0,21.720000000000002,0.0,20.1
2021-07-26,-0.47,25.3,14.459999999999999,-0.47,18.16,-0.47,1,8.609999999999998,-0.47,21.250000000000004,-0.47,19.630000000000003
2021-07-27,0.78,26.08,13.809999999999999,0.78,18.94,0.78,1,9.389999999999997,0.78,22.030000000000005,0.78,20.410000000000004
2021-07-28,-1.72,24.36,12.579999999999998,-1.72,17.220000000000002,-0.0,0,9.389999999999997,-1.72,20.310000000000006,-1.72,18.690000000000005
2021-07-29,1.5,25.86,11.409999999999998,0.0,17.220000000000002,0.0,0,9.389999999999997,1.5,21.810000000000006,1.5,20.190000000000005
2021-07-30,0.3,26.16,13.469999999999999,0.3,17.520000000000003,0.3,1,9.689999999999998,0.3,22.110000000000007,0.3,20.490000000000006
2021-08-02,0.3,26.46,14.139999999999999,0.3,17.820000000000004,0.3,1,9.989999999999998,0.3,22.410000000000007,0.3,20.790000000000006
2021-08-03,-0.42,26.04,15.509999999999998,-0.42,17.400000000000002,-0.42,1,9.569999999999999,-0.42,21.990000000000006,-0.42,20.370000000000005
2021-08-04,1.38,27.42,14.989999999999998,1.38,18.78,1.38,1,10.95,1.38,23.370000000000005,1.38,21.750000000000004
2021-08-05,0.0,27.42,16.34,0.0,18.78,0.0,1,10.95,0.0,23.370000000000005,0.0,21.750000000000004
2021-08-06,0.27,27.69,16.11,0.27,19.05,0.27,1,11.219999999999999,0.27,23.640000000000004,0.27,22.020000000000003
